congress,emitted_records,denominator_all_records
6,84,345477
7,54,345477
8,153,345477
9,156,345477
10,173,345477
11,67,345477
13,199,345477
14,215,345477
15,233,345477
16,393,345477
17,404,345477
18,546,345477
19,727,345477
20,748,345477
21,1006,345477
22,953,345477
23,1117,345477
24,1472,345477
25,1797,345477
26,1238,345477
27,1187,345477
28,842,345477
29,1026,345477
30,1106,345477
31,815,345477
32,771,345477
33,1202,345477
34,1298,345477
35,1149,345477
36,1192,345477
37,959,345477
38,803,345477
39,1200,345477
40,1779,345477
41,2886,345477
42,5340,345477
82,1691,345477
83,1876,345477
84,2012,345477
85,1824,345477
86,1378,345477
87,1658,345477
88,1119,345477
89,1386,345477
90,1064,345477
91,1037,345477
92,851,345477
93,26222,345477
94,24285,345477
95,22313,345477
96,14590,345477
97,13236,345477
98,12202,345477
99,11602,345477
100,11278,345477
101,11787,345477
102,12016,345477
103,9822,345477
104,7991,345477
105,9141,345477
106,10840,345477
107,10789,345477
108,10669,345477
109,13072,345477
110,14042,345477
111,13675,345477
112,12299,345477
113,10637,345477
114,11783,345477
