source,bill_id,top_level_value,candidate_texts_json,candidate_evidence_json
official,hjres52-93,"Joint resolution authorizing the President to proclaim August 26, 1973, as ""Women's Equality Day"".","[""A joint resolution designating August 26 of each year as \""Women's Equality Day.\"""",""Joint resolution authorizing the President to proclaim August 26, 1973, as \""Women's Equality Day\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""A joint resolution designating August 26 of each year as \""Women's Equality Day.\"""",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution authorizing the President to proclaim August 26, 1973, as \""Women's Equality Day\""."",""type"":""official""}]"
official,hjres210-93,"Joint resolution asking the President of the United States to declare the fourth Saturday of September, 1973, ""National Hunting and Fishing Day"".","[""Joint resolution asking the President of the United States to declare the fourth Saturday of each September as \""National Hunting and Fishing Day\""."",""Joint resolution asking the President of the United States to declare the fourth Saturday of September, 1973, \""National Hunting and Fishing Day\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution asking the President of the United States to declare the fourth Saturday of each September as \""National Hunting and Fishing Day\""."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution asking the President of the United States to declare the fourth Saturday of September, 1973, \""National Hunting and Fishing Day\""."",""type"":""official""}]"
official,hjres275-93,"Joint resolution to authorize the President to issue a proclamation designating the month of May, 1973, as ""National Arthritis Month"".","[""Joint resolution to authorize the President to issue annually a proclamation designating the month of May in each year as \""National Arthritis Month\""."",""Joint resolution to authorize the President to issue a proclamation designating the month of May, 1973, as \""National Arthritis Month\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution to authorize the President to issue annually a proclamation designating the month of May in each year as \""National Arthritis Month\""."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution to authorize the President to issue a proclamation designating the month of May, 1973, as \""National Arthritis Month\""."",""type"":""official""}]"
official,hjres296-93,"Joint resolution to authorize the President to proclaim the last week of June 1973, as ""National Autistic Children's Week"".","[""Joint resolution to authorize the President to proclaim the last week of June of each year as National Autistic Children's Week."",""Joint resolution to authorize the President to proclaim the last week of June 1973, as \""National Autistic Children's Week\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution to authorize the President to proclaim the last week of June of each year as National Autistic Children's Week."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution to authorize the President to proclaim the last week of June 1973, as \""National Autistic Children's Week\""."",""type"":""official""}]"
official,hjres466-93,"Joint resolution authorizing the President to proclaim the second full week in October, 1973, as ""National Legal Secretaries' Court Observance Week"".","[""Joint resolution authorizing the President to proclaim the second full week in October each year as \""National Legal Secretaries' Court Observance Week\""."",""Joint resolution authorizing the President to proclaim the second full week in October, 1973, as \""National Legal Secretaries' Court Observance Week\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution authorizing the President to proclaim the second full week in October each year as \""National Legal Secretaries' Court Observance Week\""."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution authorizing the President to proclaim the second full week in October, 1973, as \""National Legal Secretaries' Court Observance Week\""."",""type"":""official""}]"
official,hjres499-93,"Joint resolution providing for an extension of the term of the Commission on the Bankruptcy Laws of the United States, and for other purposes.","[""Joint resolution providing for an extension of the term of the Commission on the Bankruptcy Laws of the United States."",""Joint resolution providing for an extension of the term of the Commission on the Bankruptcy Laws of the United States, and for other purposes.""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution providing for an extension of the term of the Commission on the Bankruptcy Laws of the United States."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution providing for an extension of the term of the Commission on the Bankruptcy Laws of the United States, and for other purposes."",""type"":""official""}]"
official,hjres636-93,"Joint resolution making continuing appropriations for the fiscal year 1974, and for other purposes.","[""Joint resolution making continuing appropriations for the fiscal year 1974."",""Joint resolution making continuing appropriations for the fiscal year 1974, and for other purposes.""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution making continuing appropriations for the fiscal year 1974."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution making continuing appropriations for the fiscal year 1974, and for other purposes."",""type"":""official""}]"
official,hjres695-93,"Joint resolution authorizing the President to proclaim the period of September 15, 1973 through October 15, 1973, as ""Johnny Horizon '76 Clean Up America Month"".","[""Joint resolution authorizing the President to proclaim the period of September 15, 1973, as \""Johnny Horizon '76 Clean Up American Month\""."",""Joint resolution authorizing the President to proclaim the period of September 15, 1973 through October 15, 1973, as \""Johnny Horizon '76 Clean Up America Month\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution authorizing the President to proclaim the period of September 15, 1973, as \""Johnny Horizon '76 Clean Up American Month\""."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution authorizing the President to proclaim the period of September 15, 1973 through October 15, 1973, as \""Johnny Horizon '76 Clean Up America Month\""."",""type"":""official""}]"
official,hjres736-93,Joint resolution to provide for a feasibility study and to accept a gift from the United States Capitol Historical Society.,"[""Joint resolution to provide for a feasibility study and the possible acceptance of a gift from the U.S. Capitol Historical Society."",""Joint resolution to provide for a feasibility study and to accept a gift from the United States Capitol Historical Society.""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution to provide for a feasibility study and the possible acceptance of a gift from the U.S. Capitol Historical Society."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution to provide for a feasibility study and to accept a gift from the United States Capitol Historical Society."",""type"":""official""}]"
official,hjres753-93,"Joint resolution making further continuing appropriations for the fiscal year 1974, and for other purposes.","[""A joint resolution making further continuing appropriations for the fiscal year 1974."",""Joint resolution making further continuing appropriations for the fiscal year 1974, and for other purposes.""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""A joint resolution making further continuing appropriations for the fiscal year 1974."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution making further continuing appropriations for the fiscal year 1974, and for other purposes."",""type"":""official""}]"
official,hjres898-93,"Joint resolution authorizing the President to proclaim the second full week in October, 1974, as ""National Legal Secretaries' Court Observance Week"".","[""Joint resolution authorizing the President to proclaim the second full week in October each year as \""National Legal Secretaries' Court Observance\""."",""Joint resolution authorizing the President to proclaim the second full week in October, 1974, as \""National Legal Secretaries' Court Observance Week\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution authorizing the President to proclaim the second full week in October each year as \""National Legal Secretaries' Court Observance\""."",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution authorizing the President to proclaim the second full week in October, 1974, as \""National Legal Secretaries' Court Observance Week\""."",""type"":""official""}]"
official,hjres910-93,"Joint resolution asking the President of the United States to declare the fourth Saturday of September, 1974 ""National Hunting and Fishing Day"".","[""Joint resolution asking the President of the United States to declare the fourth Saturday of each September \""National Hunting and Fishing Day.\"""",""Joint resolution asking the President of the United States to declare the fourth Saturday of September, 1974 \""National Hunting and Fishing Day\"".""]","[{""as"":""introduced"",""is_for_portion"":false,""title"":""Joint resolution asking the President of the United States to declare the fourth Saturday of each September \""National Hunting and Fishing Day.\"""",""type"":""official""},{""as"":""enacted"",""is_for_portion"":false,""title"":""Joint resolution asking the President of the United States to declare the fourth Saturday of September, 1974 \""National Hunting and Fishing Day\""."",""type"":""official""}]"
