official_matching_stages_json,short_matching_stages_json,count,denominator_no_shared_stage
"[""agreed to by house and senate""]","[""enacted""]",1,4664
"[""agreed to by house and senate""]","[""introduced"", ""reported to senate"", ""passed senate""]",1,4664
"[""amended by house"", ""amended by senate""]","[""enacted""]",1,4664
"[""amended by house"", ""amended by senate""]","[""passed house"", ""enacted""]",1,4664
"[""amended by house""]","[""enacted""]",8,4664
"[""amended by house""]","[""introduced"", ""enacted""]",1,4664
"[""amended by house""]","[""introduced"", ""passed house"", ""enacted""]",2,4664
"[""amended by house""]","[""introduced"", ""passed house"", ""passed senate"", ""enacted""]",9,4664
"[""amended by house""]","[""introduced"", ""passed house"", ""passed senate""]",1,4664
"[""amended by house""]","[""introduced"", ""passed house"", ""reported to senate"", ""passed senate"", ""enacted""]",1,4664
"[""amended by house""]","[""introduced"", ""passed house""]",45,4664
"[""amended by house""]","[""introduced"", ""passed senate"", ""enacted""]",2,4664
"[""amended by house""]","[""introduced"", ""passed senate""]",3,4664
"[""amended by house""]","[""introduced"", ""reported to house"", ""passed house"", ""enacted""]",5,4664
"[""amended by house""]","[""introduced"", ""reported to house"", ""passed house"", ""passed senate"", ""enacted""]",12,4664
"[""amended by house""]","[""introduced"", ""reported to house"", ""passed house"", ""passed senate""]",2,4664
"[""amended by house""]","[""introduced"", ""reported to house"", ""passed house"", ""reported to senate"", ""passed senate"", ""enacted""]",2,4664
"[""amended by house""]","[""introduced"", ""reported to house"", ""passed house"", ""reported to senate""]",5,4664
"[""amended by house""]","[""introduced"", ""reported to house"", ""passed house""]",84,4664
"[""amended by house""]","[""introduced"", ""reported to house""]",11,4664
"[""amended by house""]","[""introduced"", ""reported to senate"", ""passed senate""]",1,4664
"[""amended by house""]","[""introduced"", ""reported to senate""]",1,4664
"[""amended by house""]","[""introduced""]",21,4664
"[""amended by house""]","[""passed house"", ""enacted""]",2,4664
"[""amended by house""]","[""passed house"", ""passed senate"", ""enacted""]",13,4664
"[""amended by house""]","[""passed house"", ""reported to senate"", ""enacted""]",1,4664
"[""amended by house""]","[""passed house"", ""reported to senate"", ""passed senate"", ""enacted""]",4,4664
"[""amended by house""]","[""passed house"", ""reported to senate""]",4,4664
"[""amended by house""]","[""passed house""]",60,4664
"[""amended by house""]","[""passed senate"", ""enacted""]",12,4664
"[""amended by house""]","[""reported to house"", ""passed house"", ""enacted""]",6,4664
"[""amended by house""]","[""reported to house"", ""passed house"", ""passed senate"", ""enacted""]",5,4664
"[""amended by house""]","[""reported to house"", ""passed house"", ""passed senate""]",2,4664
"[""amended by house""]","[""reported to house"", ""passed house"", ""reported to senate"", ""enacted""]",1,4664
"[""amended by house""]","[""reported to house"", ""passed house"", ""reported to senate"", ""passed senate"", ""enacted""]",1,4664
"[""amended by house""]","[""reported to house"", ""passed house"", ""reported to senate""]",1,4664
"[""amended by house""]","[""reported to house"", ""passed house""]",52,4664
"[""amended by house""]","[""reported to house""]",4,4664
"[""amended by house""]","[""reported to senate"", ""passed senate"", ""enacted""]",1,4664
"[""amended by house""]","[""reported to senate"", ""passed senate""]",2,4664
"[""amended by house""]","[""reported to senate""]",6,4664
"[""amended by senate""]","[""enacted""]",43,4664
"[""amended by senate""]","[""introduced"", ""enacted""]",5,4664
"[""amended by senate""]","[""introduced"", ""passed house"", ""enacted""]",3,4664
"[""amended by senate""]","[""introduced"", ""passed house"", ""passed senate"", ""enacted""]",8,4664
"[""amended by senate""]","[""introduced"", ""passed house"", ""passed senate""]",2,4664
"[""amended by senate""]","[""introduced"", ""passed house"", ""reported to senate"", ""enacted""]",2,4664
"[""amended by senate""]","[""introduced"", ""passed house"", ""reported to senate"", ""passed senate"", ""enacted""]",9,4664
"[""amended by senate""]","[""introduced"", ""passed house"", ""reported to senate"", ""passed senate""]",2,4664
"[""amended by senate""]","[""introduced"", ""passed house""]",4,4664
"[""amended by senate""]","[""introduced"", ""passed senate"", ""enacted""]",9,4664
"[""amended by senate""]","[""introduced"", ""passed senate""]",12,4664
"[""amended by senate""]","[""introduced"", ""reported to house"", ""passed house"", ""enacted""]",1,4664
"[""amended by senate""]","[""introduced"", ""reported to house"", ""passed house"", ""passed senate"", ""enacted""]",5,4664
"[""amended by senate""]","[""introduced"", ""reported to house"", ""passed house"", ""reported to senate"", ""passed senate"", ""enacted""]",5,4664
"[""amended by senate""]","[""introduced"", ""reported to house"", ""passed house"", ""reported to senate"", ""passed senate""]",1,4664
"[""amended by senate""]","[""introduced"", ""reported to house"", ""passed house""]",3,4664
"[""amended by senate""]","[""introduced"", ""reported to house"", ""passed senate"", ""enacted""]",1,4664
"[""amended by senate""]","[""introduced"", ""reported to house"", ""reported to senate"", ""passed senate"", ""enacted""]",1,4664
"[""amended by senate""]","[""introduced"", ""reported to house""]",1,4664
"[""amended by senate""]","[""introduced"", ""reported to senate"", ""passed house"", ""passed senate"", ""enacted""]",3,4664
"[""amended by senate""]","[""introduced"", ""reported to senate"", ""passed senate"", ""enacted""]",3,4664
"[""amended by senate""]","[""introduced"", ""reported to senate"", ""passed senate""]",36,4664
"[""amended by senate""]","[""introduced"", ""reported to senate""]",3,4664
"[""amended by senate""]","[""introduced""]",18,4664
"[""amended by senate""]","[""passed house"", ""enacted""]",18,4664
"[""amended by senate""]","[""passed house"", ""passed senate"", ""enacted""]",14,4664
"[""amended by senate""]","[""passed house"", ""passed senate""]",1,4664
"[""amended by senate""]","[""passed house"", ""reported to senate"", ""enacted""]",1,4664
"[""amended by senate""]","[""passed house"", ""reported to senate"", ""passed senate"", ""enacted""]",6,4664
"[""amended by senate""]","[""passed house"", ""reported to senate"", ""passed senate""]",1,4664
"[""amended by senate""]","[""passed house""]",3,4664
"[""amended by senate""]","[""passed senate"", ""enacted"", ""conference report""]",1,4664
"[""amended by senate""]","[""passed senate"", ""enacted"", null]",1,4664
"[""amended by senate""]","[""passed senate"", ""enacted""]",61,4664
"[""amended by senate""]","[""passed senate""]",48,4664
"[""amended by senate""]","[""reported to house"", ""passed house"", ""enacted""]",3,4664
