source,candidate_entry_count,distinct_text_count,count,denominator
display,0,0,333694,345477
display,1,1,11781,345477
display,2,1,2,345477
official,0,0,276,345477
official,1,1,342405,345477
official,2,1,13,345477
official,2,2,2736,345477
official,3,2,2,345477
official,3,3,45,345477
popular,0,0,342667,345477
popular,1,1,2133,345477
popular,2,2,501,345477
popular,3,3,84,345477
popular,4,4,63,345477
popular,5,5,12,345477
popular,6,6,8,345477
popular,7,7,3,345477
popular,8,8,1,345477
popular,15,15,1,345477
popular,19,19,1,345477
popular,28,28,1,345477
popular,30,30,2,345477
short,0,0,225679,345477
short,1,1,103209,345477
short,2,1,5230,345477
short,2,2,4863,345477
short,3,1,2405,345477
short,3,2,974,345477
short,3,3,99,345477
short,4,1,913,345477
short,4,2,602,345477
short,4,3,122,345477
short,4,4,25,345477
short,5,1,549,345477
short,5,2,321,345477
short,5,3,111,345477
short,5,4,18,345477
short,5,5,1,345477
short,6,1,96,345477
short,6,2,134,345477
short,6,3,34,345477
short,6,4,16,345477
short,6,5,1,345477
short,6,6,1,345477
short,7,2,4,345477
short,7,3,8,345477
short,7,4,3,345477
short,7,5,1,345477
short,8,2,11,345477
short,8,3,6,345477
short,8,4,5,345477
short,8,5,2,345477
short,8,6,2,345477
short,9,3,5,345477
short,9,4,1,345477
short,9,5,1,345477
short,10,2,14,345477
short,10,3,1,345477
short,10,4,3,345477
short,10,7,1,345477
short,12,2,1,345477
short,12,3,1,345477
short,12,4,1,345477
short,16,4,1,345477
short,20,16,1,345477
short,44,39,1,345477
