bill_id,status,official_matching_stages_json,short_matching_stages_json,shared_stages_json
hjres2-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres294-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres295-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres357-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres498-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres542-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres559-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres562-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres574-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres575-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres608-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres623-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres653-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres694-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres784-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres785-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres786-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres787-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres788-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres791-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres792-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres793-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres794-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres800-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres803-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres805-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres809-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres814-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hjres817-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr1-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr2-93,shared_stage,"[""enacted""]","[""enacted""]","[""enacted""]"
hr3-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr5-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr7-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr8-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr9-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr10-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr12-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr13-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr14-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr16-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr17-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr18-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr19-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr20-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr21-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr22-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr23-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr24-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
hr25-93,shared_stage,"[""introduced""]","[""introduced""]","[""introduced""]"
