category,count,denominator
official_exact_single_match,342418,345477
official_match_with_distinct_alternatives,2783,345477
official_disagrees_with_candidates,0,345477
official_top_level_only,0,345477
official_candidate_only,0,345477
official_absent_from_both,276,345477
short_exact_single_match,112402,345477
short_match_with_distinct_alternatives,7396,345477
short_disagrees_with_candidates,0,345477
short_top_level_only,0,345477
short_candidate_only,0,345477
short_absent_from_both,225679,345477
popular_exact_single_match,2133,345477
popular_match_with_distinct_alternatives,677,345477
popular_disagrees_with_candidates,0,345477
popular_top_level_only,0,345477
popular_candidate_only,0,345477
popular_absent_from_both,342667,345477
