token,official_count,short_count,pooled_count,official_normalized_rate,short_normalized_rate,log_odds_delta,variance,z_score,direction,short_rank,official_rank
1-year,26,0,26,1.3794691484377777e-05,0,-0.33212726212521027,0.057692868793634985,-1.3827493339984507,official,3692,1906
10-percent,27,0,27,1.432525654146923e-05,0,-0.33212739237824884,0.055556116657098385,-1.4090900724452342,official,3742,1835
10-year,66,0,66,3.5017293768035899e-05,0,-0.33213247232719034,0.022727833837221954,-2.2030903871020575,official,4585,1030
100-visit,29,0,29,1.5386386655652135e-05,0,-0.33212765288463508,0.051724699033008407,-1.4603469575681074,official,3827,1775
100th,27,6,33,1.432525654146923e-05,1.0530102931756157e-05,-0.069760542813128268,0.042308253410865741,-0.33915428052838847,official,2742,2868
11th,29,23,52,1.5386386655652135e-05,4.036539457173194e-05,0.28406839616038226,0.025679573453903662,1.7726745776633566,short,1258,4357
15-year,27,0,27,1.432525654146923e-05,0,-0.33212739237824884,0.055556116657098385,-1.4090900724452342,official,3743,1836
2-year,59,0,59,3.1303338368395723e-05,0,-0.33213156052993575,0.025424289921999691,-2.0829830209257625,official,4496,1115
21st,156,286,442,8.2768148906266662e-05,0.00050193490641371014,0.55783652144395113,0.0030464283833968107,10.106748472748377,short,77,5539
24-month,42,0,42,2.2283732397841024e-05,0,-0.33212934618620515,0.035714846819061744,-1.7574495006982607,official,4196,1406
3-year,44,0,44,2.3344862512023929e-05,0,-0.33212960669568581,0.034091470196116212,-1.7988076501041976,official,4246,1352
400th,22,16,38,1.1672431256011964e-05,2.8080274484683089e-05,0.25566681740345487,0.035185746289998585,1.3629847034782745,short,1523,4092
5-month,34,0,34,1.8039211941109402e-05,0,-0.33212830415240902,0.044118208161875186,-1.5812369534791584,official,3987,1609
5-year,135,0,135,7.1626282707346148e-05,0,-0.33214146031334302,0.011111672235933822,-3.1508909989563372,official,5009,607
50th,36,23,59,1.9100342055292307e-05,4.036539457173194e-05,0.21387088120272146,0.022721998850426701,1.41882356203143,short,1490,4125
abandoned,164,66,230,8.7012669362998283e-05,0.00011583113224931773,0.075038925418303037,0.0059170105933813938,0.9755183267866635,short,1796,3820
abandonment,46,10,56,2.4405992626206838e-05,1.755017155292693e-05,-0.074296449378380203,0.024955997828498545,-0.47030607625161114,official,2860,2756
abatement,62,57,119,3.2895033539670081e-05,0.0001000359778516835,0.33302675224298994,0.011207241184849842,3.1457902563069249,short,630,4986
abduction,46,22,68,2.4405992626206838e-05,3.8610377416439245e-05,0.12463801409606923,0.019883602047289763,0.88389970578712573,short,1859,3757
ability,498,3,501,0.00026422139843154359,5.2650514658780786e-06,-0.32321879033344381,0.002985689189027088,-5.9152663247177344,official,5414,202
able,127,15,142,6.7381762250614527e-05,2.6325257329390394e-05,-0.17745234895773976,0.010087459997726499,-1.766814032047612,official,4215,1400
aboard,40,0,40,2.1222602283658118e-05,0,-0.33212908567713839,0.03750056110434493,-1.7150943922473294,official,4155,1455
abolish,166,6,172,8.8073799477181189e-05,1.0530102931756157e-05,-0.28025807799348357,0.0085771185428827265,-3.0261289692172189,official,4976,640
abolishing,31,5,36,1.644751676983504e-05,8.7750857764634652e-06,-0.13009913126883532,0.03931617814053124,-0.65612826892795695,official,3002,2612
abolishment,14,12,26,7.4279107992803412e-06,2.1060205863512314e-05,0.30973335726715945,0.051316350575686162,1.367288302310427,short,1513,4098
abolition,49,66,115,2.5997687797481196e-05,0.00011583113224931773,0.45967596302834934,0.011622983978285234,4.2637621995027324,short,382,5234
abortion,181,103,284,9.6032275333552986e-05,0.00018076676699514739,0.17743139663807206,0.004735078125309506,2.5784985802078002,short,837,4779
abortions,122,1,123,6.4728936965157256e-05,1.7550171552926931e-06,-0.31996880040753339,0.012146709904385666,-2.9032090122123924,official,4937,679
above-the-line,29,0,29,1.5386386655652135e-05,0,-0.33212765288463508,0.051724699033008407,-1.4603469575681074,official,3828,1776
abraham,26,18,44,1.3794691484377777e-05,3.1590308795268477e-05,0.23966681676282775,0.030415307649997933,1.3742375172978742,short,1509,4105
abroad,252,33,285,0.00013370239438704613,5.7915566124658867e-05,-0.16294201405927922,0.0050074126399886967,-2.3026418282910637,official,4650,966
absence,76,0,76,4.0322944338950426e-05,0,-0.33213377490346119,0.019737403217367912,-2.364111931290569,official,4686,924
absent,42,0,42,2.2283732397841024e-05,0,-0.33212934618620515,0.035714846819061744,-1.7574495006982607,official,4197,1407
absentee,72,12,84,3.8200684110584615e-05,2.1060205863512314e-05,-0.12448871882365964,0.016827484191426944,-0.95966664820394076,official,3248,2368
abundance,29,1,30,1.5386386655652135e-05,1.7550171552926931e-06,-0.28253028089639542,0.049207778160747596,-1.2736442028462189,official,3549,2061
abuse,1160,609,1769,0.0006154554662260854,0.0010688054475732501,0.15273341127805296,0.0007624964098465188,5.5311463557055047,short,213,5403
abusers,41,7,48,2.1753167340749571e-05,1.2285120087048851e-05,-0.12028220391174393,0.029418334344460829,-0.7012814273746707,official,3050,2565
abuses,97,4,101,5.1464810537870939e-05,7.0200686211707723e-06,-0.27329428689589186,0.014574875692033114,-2.2637482278997241,official,4623,992
abusive,74,15,89,3.926181422476752e-05,2.6325257329390394e-05,-0.088339172643543407,0.015750915056288308,-0.7038829293726292,official,3052,2564
academic,195,56,251,0.00010346018613283332,9.8280960696390808e-05,-0.012449171051704511,0.0055000426095738126,-0.16786393798071994,official,2614,3002
academies,29,8,37,1.5386386655652135e-05,1.4040137242341545e-05,-0.02196927777908364,0.037374298477885447,-0.11363948458181183,official,2569,3045
academy,175,59,234,9.284888499100427e-05,0.00010354601216226889,0.027483384278689016,0.0058585182078194431,0.35906768218502388,short,2260,3355
accelerate,160,6,166,8.4890409134632473e-05,1.0530102931756157e-05,-0.2783978557571718,0.008881999282791396,-2.9540001912656417,official,4956,660
accelerated,114,35,149,6.0484416508425642e-05,6.1425600435244251e-05,0.0038052614774084503,0.0092376251073254759,0.039591717132708031,short,2470,3146
accelerating,22,33,55,1.1672431256011964e-05,5.7915566124658867e-05,0.49456605025996225,0.0243512104600829,3.1693049109431213,short,619,4997
acceleration,33,59,92,1.7508646884017949e-05,0.00010354601216226889,0.5500105269411506,0.01462307767516235,4.548326243492216,short,332,5284
accept,126,1,127,6.6851197193523067e-05,1.7550171552926931e-06,-0.32035190132766367,0.011765630293114906,-2.9533825676561252,official,4955,661
acceptance,73,4,77,3.8731249167676067e-05,7.0200686211707723e-06,-0.25517061957579479,0.019012906791557545,-1.8505737971403058,official,4307,1308
accepted,32,0,32,1.6978081826926497e-05,0,-0.33212804364498894,0.046875561102620561,-1.5340245419763083,official,3945,1662
accepting,30,0,30,1.5916951712743588e-05,0,-0.33212778313798452,0.050000561102189471,-1.4853122665294169,official,3861,1736
access,2427,2137,4564,0.0012876813935609563,0.0037504716608604848,0.31926222465472254,0.00029283471259413746,18.656761391203318,short,20,5596
accessibility,61,113,174,3.2364468482578628e-05,0.0001983169385480743,0.56096074989277867,0.0077402008460113175,6.3761182081479637,short,173,5443
accessible,85,22,107,4.50980298527735e-05,3.8610377416439245e-05,-0.036661255434673024,0.012960832437853391,-0.32202596102043995,official,2726,2890
accessing,28,7,35,1.4855821598560682e-05,1.2285120087048851e-05,-0.044442434230242966,0.039683100786200437,-0.22309767193986205,official,2663,2948
accessories,31,0,31,1.644751676983504e-05,0,-0.33212791339143699,0.048387657876598558,-1.5098648555654945,official,3894,1692
accident,55,20,75,2.9181078140029912e-05,3.5100343105853861e-05,0.047367199308563812,0.018219184594795046,0.35092413558791713,short,2274,3342
accidental,21,4,25,1.1141866198920512e-05,7.0200686211707723e-06,-0.1003232734100532,0.056222450156808892,-0.42310368722471836,official,2802,2809
accidents,68,1,69,3.6078423882218804e-05,1.7550171552926931e-06,-0.31047080520718495,0.021585545469359087,-2.1131934413389546,official,4517,1098
accommodation,31,3,34,1.644751676983504e-05,5.2650514658780786e-06,-0.20244879753446732,0.042412203514862724,-0.98303681644785201,official,3267,2341
accommodations,28,2,30,1.4855821598560682e-05,3.5100343105853862e-06,-0.23368658812023924,0.04849194041264674,-1.0612043130292073,official,3336,2270
accordance,225,0,225,0.00011937713784557692,0,-0.33215318451134301,0.0066672278108907941,-4.0678578969466335,official,5228,388
according,36,0,36,1.9100342055292307e-05,0,-0.33212856466023766,0.041667227770149411,-1.6270800693544627,official,4055,1550
accordingly,90,0,90,4.775085513823077e-05,0,-0.33213559852756269,0.016667227781789189,-2.5726679770370477,official,4793,823
account,713,221,934,0.00037829288570620598,0.00038785879131968517,0.0061705470184945099,0.0014735267169360461,0.16074765962819004,short,2395,3221
accountability,632,1533,2165,0.00033531711608179827,0.0026904412990636983,0.64084673187840036,0.00062850401109492316,25.562312926168726,short,13,5603
accountable,119,35,154,6.3137241793882905e-05,6.1425600435244251e-05,-0.0067018953710444862,0.0089545700848953202,-0.070823155626224932,official,2546,3070
accounting,271,132,403,0.00014378313047178374,0.00023166226449863547,0.13008151830727321,0.0033533995937503449,2.2463268265243221,short,980,4636
accounts,902,75,977,0.00047856968149649057,0.00013162628664695197,-0.21910850677538551,0.0014833296304592129,-5.689058545737347,official,5402,214
accreditation,35,13,48,1.8569776998200855e-05,2.281522301880501e-05,0.053057603604427683,0.028442196500835373,0.31460532159784083,short,2295,3320
accredited,48,5,53,2.5467122740389743e-05,8.7750857764634652e-06,-0.1936582991919078,0.027142930516782904,-1.1754597045931279,official,3439,2174
accrual,45,0,45,2.3875427569115385e-05,0,-0.33212973695058068,0.033333894438756007,-1.8191341786345503,official,4271,1332
accrue,47,0,47,2.493655768329829e-05,0,-0.33212999746068128,0.031915454722875047,-1.8591206890678307,official,4315,1291
accuracy,73,54,127,3.8731249167676067e-05,9.4770926385805417e-05,0.26121672780418237,0.010525423004587475,2.5461337022310211,short,854,4762
