token,official_count,short_count,pooled_count,official_normalized_rate,short_normalized_rate,log_odds_delta,variance,z_score,direction,short_rank,official_rank
1-year,26,0,26,1.4339803710148445e-05,0,-0.33119363782827449,0.057692891578830292,-1.3788620927062918,official,3640,1861
10-percent,27,0,27,1.4891334622077231e-05,0,-0.33119377297485109,0.055556139442311518,-1.4051287926382199,official,3685,1814
10-year,63,0,63,3.474644745151354e-05,0,-0.33119863832576613,0.023810107704681244,-2.1463861762620318,official,4485,1038
100-visit,29,0,29,1.5994396445934803e-05,0,-0.33119404326834001,0.051724721818257192,-1.456241606872426,official,3767,1736
100th,26,6,32,1.4339803710148445e-05,1.0987964516199922e-05,-0.060900615640861133,0.043557752672318067,-0.29180246120268305,official,2663,2862
11th,29,23,52,1.5994396445934803e-05,4.2120530645433034e-05,0.28500241729407705,0.025679596239673141,1.7785023691358175,short,1214,4310
15-year,26,0,26,1.4339803710148445e-05,0,-0.33119363782827449,0.057692891578830292,-1.3788620927062918,official,3641,1862
2-year,58,0,58,3.1988792891869606e-05,0,-0.33119796257395784,0.025862652859507791,-2.0594493774876743,official,4428,1093
21st,154,276,430,8.4935760437033098e-05,0.00050544636774519638,0.55177437014901365,0.0031293433596966541,9.8635878017049681,short,79,5447
24-month,42,0,42,2.3164298301009027e-05,0,-0.33119580018686889,0.03571486960454226,-1.7525091193635514,official,4136,1375
3-year,41,0,41,2.2612767389080238e-05,0,-0.33119566503862252,0.036585949743681713,-1.7315198594889014,official,4118,1400
400th,20,14,34,1.1030618238575727e-05,2.5638583871133151e-05,0.2441776003429883,0.039352435741095912,1.2308921788701945,short,1580,3946
5-month,34,0,34,1.8752051005578734e-05,0,-0.3311947190040101,0.044118230947213094,-1.576791820221908,official,3931,1579
5-year,135,0,135,7.4456673110386148e-05,0,-0.33120836946036469,0.011111695023072231,-3.1420359236444542,official,4929,597
50th,35,22,57,1.9303581917507522e-05,4.028920322606638e-05,0.20962147423142596,0.023528376960592543,1.3665948701793973,short,1486,4039
abandoned,163,64,227,8.9899538644392166e-05,0.00011720495483946583,0.069140275944842955,0.0060011126182817542,0.89251437580690274,short,1810,3716
abandonment,45,10,55,2.4818891036795385e-05,1.8313274193666537e-05,-0.068827453720761156,0.025385199278516162,-0.431987733069156,official,2769,2757
abatement,59,54,113,3.2540323803798394e-05,9.8891680645799297e-05,0.33247265122396996,0.011802561350590594,3.0603267138623735,short,636,4890
abduction,42,20,62,2.3164298301009027e-05,3.6626548387333073e-05,0.12428870341833154,0.021811090462748914,0.84157527556588307,short,1845,3681
ability,475,3,478,0.00026197718316617352,5.493982258099961e-06,-0.32185343644009734,0.0031289040145477025,-5.7538962960217761,official,5322,204
able,123,14,137,6.7838302167240715e-05,2.5638583871133151e-05,-0.18145507863858334,0.010469254315727672,-1.7734185753078515,official,4170,1356
aboard,39,0,39,2.1509705565222665e-05,0,-0.33119539474246373,0.038462122351094884,-1.6887589620191619,official,4072,1445
abolish,161,6,167,8.8796476820534603e-05,1.0987964516199922e-05,-0.27778402440304717,0.0088297112284101004,-2.9562013791353152,official,4882,643
abolishing,31,5,36,1.7097458269792376e-05,9.1566370968332683e-06,-0.12916544198072621,0.039316200925928871,-0.65141920985745039,official,2937,2584
abolishment,14,12,26,7.7214327670030089e-06,2.1975929032399844e-05,0.31066725498678593,0.051316373360939228,1.371410600070974,short,1482,4042
abolition,48,65,113,2.6473483772581743e-05,0.00011903628225883249,0.46235892394333256,0.011829741563107657,4.2510050005047573,short,367,5159
abortion,181,100,281,9.9827095059110328e-05,0.00018313274193666537,0.16921195570355252,0.0047897580326556263,2.4449740707231129,short,863,4663
abortions,120,1,121,6.6183709431454364e-05,1.8313274193666537e-06,-0.3188346015388408,0.012346682813591102,-2.8693947639881308,official,4852,674
